Questions,Totalitarian-Libertarian,Collectivist-Individualist,Progressive-Conservative
Should-healthcare-be-free,2,3,3
Should-the-US-adopt-universal-healthcare,2,3,3
Should-US-immigrants-have-free-healthcare,2,3,3
Should-the-US-restrict-medicaid,-2,-2,-2
Should-the-US-restrict-medicare,-2,-2,-2
Should-prescriptions-be-free,2,3,3
Should-the-US-government-invest-more-in-healthcare,2,2,1
Should-the-US-government-invest-in-expanding-healthcare-in-rural-areas,2,2,2
Should-US-mental-healthcare-be-free,2,3,3
Should-we-build-a-US-Mexico-border-wall,2,-2,-3
Should-we-increase-US-border-security,2,0,-2
Should-it-be-easier-to-become-a-US-citizen,-1,2,1
Should-US-immigation-screening-be-more-strict,1,-2,-1
Should-the-US-deport-illegal-immigrants,1,-2,-2
Should-the-US-freely-offer-asylum,0,3,2
Should-the-US-federal-government-aid-sanctuary-cities,2,3,3
Should-DACA-be-repealed,-1,-2,-2
Should-US-immigrants-be-given-Temporary-Protection-Status,1,2,2
Should-the-US-give-more-refugess-asylum,1,2,1
Should-the-US-federal-government-aid-sanctuary-states,2,3,3
Should-the-US-sponsor-immigrant-family-reiunification,0,2,1
Should-the-US-restrict-work-visas,2,-2,-1
Should-the-US-detain-illegal-immigrants,1,-2,-1
Should-US-immigrants-be-treated-better,0,1,0
Should-the-US-have-stricter-gun-control,2,1,2
Should-the-US-have-stricter-background-checks-for-firearm-purchases,2,1,2
Should-handguns-be-banned-in-the-US,3,2,3
Should-automatic-rilfes-stay-restricted-in-the-US,1,1,2
Should-semiautomatic-rifles-be-banned-in-the-US,2,2,3
Should-sniper-rifles-be-banned-in-the-US,2,2,3
Should-it-be-legal-in-the-US-to-conceal-carry,-3,-2,-2
Should-the-US-adopt-gun-storage-laws,2,2,3
Should-the-US-adopt-gun-safety-laws,2,1,2
Should-mental-health-be-used-in-firearm-background-checks-in-the-US,1,2,2
Should-it-be-harder-to-buy-a-gun-in-the-US,2,1,1
Should-the-US-enact-red-flag-laws,2,2,2
Should-the-US-put-limitations-on-gun-magazines,2,2,2
